Word,Meaning (Vietnamese),IPA,Example
shirt,áo sơ mi,/ʃɜːrt/,He is wearing a white shirt.
T-shirt,áo thun,/ˈtiː ʃɜːrt/,I like to wear T-shirts on weekends.
jacket,áo khoác,/ˈdʒækɪt/,She put on a warm jacket.
coat,áo choàng,/koʊt/,He bought a new winter coat.
sweater,áo len,/ˈswetər/,My grandmother knitted me a sweater.
jeans,quần jean,/dʒiːnz/,I wear jeans almost every day.
trousers,quần dài,/ˈtraʊzərz/,He wears black trousers to work.
shorts,quần ngắn,/ʃɔːrts/,"It’s hot, so I’m wearing shorts."
skirt,váy ngắn,/skɜːrt/,She bought a beautiful skirt.
dress,váy liền,/dres/,Her red dress looks stunning.
suit,bộ com-lê,/suːt/,He wore a suit to the interview.
tie,cà vạt,/taɪ/,He is adjusting his tie.
belt,thắt lưng,/belt/,My belt is made of leather.
hat,mũ,/hæt/,She wore a big hat to the beach.
cap,nón lưỡi trai,/kæp/,He bought a new baseball cap.
socks,"tất, vớ",/sɑːks/,I need a new pair of socks.
shoes,giày,/ʃuːz/,Her shoes are very comfortable.
boots,ủng,/buːts/,He wears boots in the rain.
gloves,găng tay,/ɡlʌvz/,She put on gloves because it’s cold.
scarf,khăn quàng cổ,/skɑːrf/,I love my red wool scarf.
pajamas,đồ ngủ,/pəˈdʒæməz/,He changed into his pajamas.
underwear,đồ lót,/ˈʌndərwer/,I bought new underwear.
swimsuit,đồ bơi,/ˈswɪmsuːt/,She wore a blue swimsuit.
raincoat,áo mưa,/ˈreɪnkoʊt/,Don’t forget your raincoat!
uniform,đồng phục,/ˈjuːnɪfɔːrm/,Students must wear a uniform.
