Word,Vietnamese Meaning,IPA,Example
happy,h?nh phúc,/?hæp.i/,She feels happy when she listens to music.
sad,bu?n,/sæd/,He looks sad today.
angry,t?c gi?n,/?æ?.?ri/,I was angry because he was late.
excited,hào h?ng,/?k?sa?.t?d/,The children are excited about the trip.
nervous,lo l?ng,/?n??.v?s/,I feel nervous before the exam.
tired,m?t m?i,/?ta??d/,She is tired after working all day.
bored,chán n?n,/b??d/,He gets bored during long meetings.
surprised,ng?c nhiên,/s??pra?zd/,I was surprised by the good news.
scared,s? hãi,/ske?d/,The child is scared of the dark.
worried,lo l?ng,/?w?r.id/,Don’t be worried about your test.
confident,t? tin,/?k?n.f?.d?nt/,She is confident in her English skills.
shy,nhút nhát,/?a?/,He is too shy to talk to strangers.
lonely,cô ??n,/?l??n.li/,I sometimes feel lonely when I’m at home.
proud,t? hào,/pra?d/,I’m proud of my achievements.
relaxed,th? giãn,/r??lækst/,I feel relaxed after a long bath.
jealous,ghen t?,/?d?el.?s/,She was jealous of her friend’s success.
confused,b?i r?i,/k?n?fju?zd/,He looked confused by the question.
disappointed,th?t v?ng,/?d?s.??p??n.t?d/,We were disappointed with the result.
hopeful,??y hy v?ng,/?h??p.f?l/,I’m hopeful about the future.
grateful,bi?t ?n,/??re?t.f?l/,I’m grateful for your help.
