T?,Ngh?a ti?ng Vi?t,IPA,Ví d?
football,bóng ?á,/?f?t.b??l/,Football is the most popular sport in the world.
basketball,bóng r?,/?bæs.k?t.b??l/,He plays basketball every weekend.
volleyball,bóng chuy?n,/?v?l.i.b??l/,We played volleyball on the beach.
tennis,qu?n v?t,/?ten.?s/,She is learning how to play tennis.
badminton,c?u lông,/?bæd.m?n.t?n/,I enjoy playing badminton with my friends.
swimming,b?i l?i,/?sw?m.??/,Swimming is a great way to stay healthy.
running,ch?y b?,/?r?n.??/,He goes running every morning.
cycling,??p xe,/?sa?.kl??/,Cycling is good for your legs.
baseball,bóng chày,/?be?s.b??l/,They love watching baseball games.
golf,?ánh gôn,/??lf/,My father often plays golf on Sundays.
boxing,quy?n anh,/?b?k.s??/,Boxing requires a lot of strength.
gymnastics,th? d?c d?ng c?,/d??m?næs.t?ks/,She practices gymnastics every day.
skiing,tr??t tuy?t,/?ski?.??/,We went skiing in the mountains last winter.
skating,tr??t b?ng,/?ske?.t??/,Ice skating is fun but difficult.
surfing,l??t sóng,/?s??.f??/,He learned surfing in Hawaii.
archery,b?n cung,/???.t??r.i/,Archery needs a lot of focus.
yoga,yoga,/?j??.??/,Yoga helps you relax and stay flexible.
martial arts,võ thu?t,/?m??.??l ???ts/,He is studying martial arts.
table tennis,bóng bàn,/?te?.b?l ?ten.?s/,Table tennis is very popular in Asia.
hiking,?i b? ???ng dài,/?ha?.k??/,We went hiking in the forest.
