English,Vietnamese,IPA,Example
family,gia đình,/ˈfæməli/,My family is very big.
father,"cha, bố",/ˈfɑːðər/,My father works in an office.
mother,mẹ,/ˈmʌðər/,My mother is a teacher.
parents,cha mẹ,/ˈperənts/,My parents love me very much.
son,con trai,/sʌn/,Their son is five years old.
daughter,con gái,/ˈdɔːtər/,Her daughter goes to school.
brother,"anh, em trai",/ˈbrʌðər/,My brother likes football.
sister,"chị, em gái",/ˈsɪstər/,I have two sisters.
husband,chồng,/ˈhʌzbənd/,Her husband is a doctor.
wife,vợ,/waɪf/,His wife is very kind.
grandfather,ông nội/ngoại,/ˈɡrænfɑːðər/,My grandfather tells great stories.
grandmother,bà nội/ngoại,/ˈɡrænmʌðər/,My grandmother makes delicious cakes.
grandson,cháu trai,/ˈɡrænsʌn/,Their grandson lives abroad.
granddaughter,cháu gái,/ˈɡrændɔːtər/,She loves her granddaughter.
uncle,"chú, cậu, bác trai",/ˈʌŋkl/,My uncle lives in Hanoi.
aunt,"cô, dì, bác gái",/ænt/,My aunt is visiting us today.
cousin,anh/chị/em họ,/ˈkʌzn/,My cousins are very friendly.
nephew,cháu trai (con của anh/chị/em),/ˈnefjuː/,I bought a gift for my nephew.
niece,cháu gái (con của anh/chị/em),/niːs/,Her niece is only two years old.
parents-in-law,bố mẹ chồng/vợ,/ˈperənts ɪn lɔː/,I respect my parents-in-law.
father-in-law,bố chồng/vợ,/ˈfɑːðər ɪn lɔː/,His father-in-law is kind.
mother-in-law,mẹ chồng/vợ,/ˈmʌðər ɪn lɔː/,Her mother-in-law is helpful.
twins,sinh đôi,/twɪnz/,The twins look exactly the same.
wife,v?,/wa?f/,My wife loves cooking.
twins,sinh ?ôi,/tw?nz/,The twins look exactly the same.
