Word,Meaning,IPA,Example
nature,thiên nhiên,/?ne?t??r/,I love walking in nature.
mountain,ng?n núi,/?ma?nt?n/,The mountain is covered with snow.
river,con sông,/?r?v?r/,The river flows to the sea.
lake,h?,/le?k/,We went swimming in the lake.
sea,bi?n,/si?/,The sea is calm today.
ocean,??i d??ng,/????n/,Whales live in the ocean.
forest,khu r?ng,/?f?r?st/,There are many animals in the forest.
tree,cái cây,/tri?/,A bird is sitting on the tree.
flower,bông hoa,/?fla??r/,She picked a beautiful flower.
leaf,chi?c lá,/li?f/,The leaf fell from the tree.
grass,c?,/?r??s/,The grass is wet with dew.
rock,hòn ?á,/r?k/,He threw a rock into the water.
hill,??i,/h?l/,We climbed up the hill.
valley,thung l?ng,/?væli/,The village is in a valley.
island,hòn ??o,/?a?l?nd/,They live on a small island.
desert,sa m?c,/?dez?rt/,The desert is very hot and dry.
waterfall,thác n??c,/?w??t?f??l/,The waterfall is beautiful.
beach,bãi bi?n,/bi?t?/,We walked along the beach.
sky,b?u tr?i,/ska?/,The sky is full of stars.
cloud,?ám mây,/kla?d/,A big cloud is covering the sun.
sun,m?t tr?i,/s?n/,The sun rises in the east.
moon,m?t tr?ng,/mu?n/,The moon shines at night.
star,ngôi sao,/st??r/,There are many stars in the sky.
wind,gió,/w?nd/,The wind is blowing strongly.
fire,l?a,/?fa??r/,They sat around the fire.
