English,Vietnamese,IPA,Example
bread,bánh mì,/bred/,I eat bread for breakfast.
rice,"c?m, g?o",/ra?s/,We have rice every day.
noodles,"mì, bún",/?nu?dlz/,She likes eating noodles.
soup,"súp, canh",/su?p/,The soup is hot and delicious.
chicken,th?t gà,/?t??k?n/,He cooked fried chicken.
beef,th?t bò,/bi?f/,I ordered beef steak.
pork,th?t heo,/p??rk/,Pork is cheaper than beef.
fish,cá,/f??/,I like grilled fish.
shrimp,tôm,/?r?mp/,We had shrimp for dinner.
egg,tr?ng,/e?/,She fried two eggs.
cheese,phô mai,/t?i?z/,Cheese is made from milk.
butter,b?,/?b?t?r/,He spread butter on the bread.
salad,rau tr?n,/?sæl?d/,I eat salad to stay healthy.
pizza,bánh pizza,/?pi?ts?/,Let’s order a pizza tonight.
sandwich,bánh sandwich,/?sænw?t?/,I made a sandwich for lunch.
hamburger,bánh mì k?p th?t,/?hæmb??r??r/,He bought a hamburger.
pasta,mì ?ng,/?pæst?/,She loves Italian pasta.
cake,bánh ng?t,/ke?k/,The birthday cake looks tasty.
ice cream,kem,/?a?s kri?m/,Children love ice cream.
chocolate,sô-cô-la,/?t??kl?t/,I eat chocolate when I’m sad.
water,n??c,/?w??t?r/,Drink more water every day.
juice,n??c ép,/d?u?s/,Orange juice is my favorite.
milk,s?a,/m?lk/,Milk is good for your bones.
coffee,cà phê,/?k?fi/,He drinks coffee every morning.
tea,trà,/ti?/,She likes green tea.
soda,n??c ng?t có ga,/?so?d?/,I don’t drink soda often.
wine,r??u vang,/wa?n/,They served red wine with dinner.
beer,bia,/b?r/,He ordered a cold beer.
