Word,Meaning,IPA,Example
weather,th?i ti?t,/?weð?r/,The weather is very nice today.
sunny,n?ng,/?s?ni/,It’s sunny this morning.
rainy,m?a,/?re?ni/,It’s rainy in the afternoon.
cloudy,có mây,/?kla?di/,The sky is cloudy.
windy,có gió,/?w?ndi/,It’s windy near the beach.
stormy,có bão,/?st??rmi/,"It’s stormy, so we should stay inside."
snowy,có tuy?t,/?sn??i/,The mountain is snowy in winter.
foggy,có s??ng mù,/?f??i/,It’s too foggy to see the road.
hot,nóng,/h?t/,It’s very hot in summer.
cold,l?nh,/k??ld/,It’s too cold outside.
warm,?m áp,/w??m/,The weather is warm and pleasant.
cool,mát m?,/ku?l/,It’s cool in the morning.
dry,khô ráo,/dra?/,The air is dry today.
wet,?m ??t,/wet/,My clothes are wet from the rain.
thunder,s?m,/???nd?r/,I heard loud thunder last night.
lightning,tia ch?p,/?la?tn??/,Lightning flashed across the sky.
hurricane,bão l?n,/?h?r?k?n/,A hurricane is coming to the coast.
drizzle,m?a phùn,/?dr?zl/,"It’s just a light drizzle, not heavy rain."
rainbow,c?u v?ng,/?re?nb??/,We saw a rainbow after the rain.
temperature,nhi?t ??,/?tempr?t??r/,The temperature is 30 degrees today.
forecast,d? báo,/?f??k??st/,The weather forecast says it will rain.
hail,m?a ?á,/he?l/,Hail damaged the car’s roof.
snowflake,bông tuy?t,/?sn??fle?k/,A snowflake fell on my hand.
breeze,gió nh?,/bri?z/,A cool breeze is blowing.
flood,l? l?t,/fl?d/,The heavy rain caused a flood.
