Word,Meaning (Vietnamese),IPA,Example
health,sức khỏe,/helθ/,Good health is very important.
illness,bệnh tật,/ˈɪlnəs/,She missed school because of illness.
disease,căn bệnh,/dɪˈziːz/,Heart disease is a common problem.
headache,đau đầu,/ˈhedeɪk/,I have a headache after studying too long.
stomachache,đau bụng,/ˈstʌməkeɪk/,He has a stomachache after eating too much.
toothache,đau răng,/ˈtuːθeɪk/,She went to the dentist because of a toothache.
fever,sốt,/ˈfiːvər/,He has a high fever.
cough,ho,/kɔːf/,I can’t stop coughing.
cold,cảm lạnh,/koʊld/,She caught a cold last week.
flu,cảm cúm,/fluː/,The flu spreads easily in winter.
sore throat,đau họng,/ˌsɔːr ˈθroʊt/,I can’t speak well because of a sore throat.
backache,đau lưng,/ˈbækeɪk/,My father has a backache after work.
allergy,dị ứng,/ˈælərdʒi/,She has an allergy to peanuts.
injury,chấn thương,/ˈɪndʒəri/,He got a knee injury while playing football.
medicine,thuốc,/ˈmedɪsən/,You should take your medicine twice a day.
doctor,bác sĩ,/ˈdɑːktər/,I need to see a doctor.
nurse,y tá,/nɜːrs/,The nurse took care of the patients.
hospital,bệnh viện,/ˈhɑːspɪtl/,He was taken to the hospital after the accident.
healthy,khỏe mạnh,/ˈhelθi/,Eating fruits and vegetables helps you stay healthy.
patient,bệnh nhân,/ˈpeɪʃnt/,The patient is recovering well.
