Word,Meaning (Vietnamese),IPA,Example
weather,thời tiết,/ˈweðər/,The weather is very nice today.
sunny,nắng,/ˈsʌni/,It’s sunny this morning.
rainy,mưa,/ˈreɪni/,It’s rainy in the afternoon.
cloudy,có mây,/ˈklaʊdi/,The sky is cloudy.
windy,có gió,/ˈwɪndi/,It’s windy near the beach.
stormy,có bão,/ˈstɔːrmi/,"It’s stormy, so we should stay inside."
snowy,có tuyết,/ˈsnoʊi/,The mountain is snowy in winter.
foggy,có sương mù,/ˈfɑːɡi/,It’s too foggy to see the road.
hot,nóng,/hɑːt/,It’s very hot in summer.
cold,lạnh,/koʊld/,It’s too cold outside.
warm,ấm áp,/wɔːrm/,The weather is warm and pleasant.
cool,mát mẻ,/kuːl/,It’s cool in the morning.
dry,khô ráo,/draɪ/,The air is dry today.
wet,ẩm ướt,/wet/,My clothes are wet from the rain.
thunder,sấm,/ˈθʌndər/,I heard loud thunder last night.
lightning,tia chớp,/ˈlaɪtnɪŋ/,Lightning flashed across the sky.
hurricane,bão lớn,/ˈhɜːrəkeɪn/,A hurricane is coming to the coast.
drizzle,mưa phùn,/ˈdrɪzl/,"It’s just a light drizzle, not heavy rain."
rainbow,cầu vồng,/ˈreɪnboʊ/,We saw a rainbow after the rain.
temperature,nhiệt độ,/ˈtemprətʃər/,The temperature is 30 degrees today.
forecast,dự báo,/ˈfɔːrkæst/,The weather forecast says it will rain.
hail,mưa đá,/heɪl/,Hail damaged the car’s roof.
snowflake,bông tuyết,/ˈsnoʊfleɪk/,A snowflake fell on my hand.
breeze,gió nhẹ,/briːz/,A cool breeze is blowing.
flood,lũ lụt,/flʌd/,
