Word,Meaning (Vietnamese),IPA,Example
football,bóng đá,/ˈfʊtbɔːl/,Football is the most popular sport in the world.
basketball,bóng rổ,/ˈbæskɪtbɔːl/,He plays basketball every weekend.
volleyball,bóng chuyền,/ˈvɑːlibɔːl/,We played volleyball on the beach.
tennis,quần vợt,/ˈtenɪs/,She is learning how to play tennis.
badminton,cầu lông,/ˈbædmɪntən/,I enjoy playing badminton with my friends.
swimming,bơi lội,/ˈswɪmɪŋ/,Swimming is a great way to stay healthy.
running,chạy bộ,/ˈrʌnɪŋ/,He goes running every morning.
cycling,đạp xe,/ˈsaɪklɪŋ/,Cycling is good for your legs.
baseball,bóng chày,/ˈbeɪsbɔːl/,They love watching baseball games.
golf,đánh gôn,/ɡɑːlf/,My father often plays golf on Sundays.
boxing,quyền anh,/ˈbɑːksɪŋ/,Boxing requires a lot of strength.
gymnastics,thể dục dụng cụ,/dʒɪmˈnæstɪks/,She practices gymnastics every day.
skiing,trượt tuyết,/ˈskiːɪŋ/,We went skiing in the mountains last winter.
skating,trượt băng,/ˈskeɪtɪŋ/,Ice skating is fun but difficult.
surfing,lướt sóng,/ˈsɜːrfɪŋ/,He learned surfing in Hawaii.
archery,bắn cung,/ˈɑːrtʃəri/,Archery needs a lot of focus.
yoga,yoga,/ˈjoʊɡə/,Yoga helps you relax and stay flexible.
martial arts,võ thuật,/ˈmɑːrʃl ɑːrts/,He is studying martial arts.
table tennis,bóng bàn,/ˈteɪbl ˈtenɪs/,Table tennis is very popular in Asia.
hiking,đi bộ đường dài,/ˈhaɪkɪŋ/,
