Word,Meaning (Vietnamese),IPA,Example
circle,hình tròn,/ˈsɜːrkl/,Draw a circle on the paper.
square,hình vuông,/skwer/,The table has a square top.
rectangle,hình chữ nhật,/ˈrektæŋɡl/,The window is a rectangle.
triangle,hình tam giác,/ˈtraɪæŋɡl/,A triangle has three sides.
oval,hình bầu dục,/ˈoʊvl/,The mirror is oval.
diamond,hình thoi,/ˈdaɪəmənd/,The diamond shape is on the floor.
star,hình ngôi sao,/stɑːr/,There is a star on the Christmas tree.
heart,hình trái tim,/hɑːrt/,She drew a heart on the card.
pentagon,hình ngũ giác,/ˈpentəɡən/,The building has a pentagon shape.
hexagon,hình lục giác,/ˈheksəɡən/,A honeycomb is made of hexagons.
heptagon,hình thất giác,/ˈheptəɡən/,The classroom table has a heptagon shape.
octagon,hình bát giác,/ˈɑːktəɡən/,A stop sign is an octagon.
crescent,hình trăng khuyết,/ˈkresnt/,The crescent moon is visible tonight.
semicircle,nửa hình tròn,/ˈsemisaɪrkl/,Draw a semicircle on the board.
trapezoid,hình thang,/ˈtræpəzɔɪd/,The roof has a trapezoid shape.
sphere,hình cầu,/sfɪr/,The Earth is roughly a sphere.
cube,hình lập phương,/kjuːb/,He built a cube out of blocks.
cylinder,hình trụ,/ˈsɪlɪndər/,The tank is a cylinder.
cone,hình nón,/koʊn/,The ice cream is in a cone.
pyramid,hình kim tự tháp,/ˈpɪrəmɪd/,The pyramid is a famous landmark in Egypt.
