English,Vietnamese,IPA,Example
carrot,cà r?t,/?kær?t/,Carrots are good for your eyes.
potato,khoai tây,/p??te?to?/,I like fried potatoes.
tomato,cà chua,/t??me?to?/,She grows tomatoes in her garden.
cucumber,d?a leo,/?kju?k?mb?r/,Cucumber is cool and refreshing.
onion,hành tây,/??nj?n/,He chopped an onion.
garlic,t?i,/????rl?k/,Garlic adds flavor to the dish.
lettuce,rau di?p,/?let?s/,I made a salad with lettuce.
spinach,rau chân v?t,/?sp?n?t?/,Spinach is rich in iron.
broccoli,bông c?i xanh,/?br?k?li/,Children often dislike broccoli.
cabbage,b?p c?i,/?kæb?d?/,She cooked cabbage soup.
pumpkin,bí ngô,/?p?mpk?n/,They carved a pumpkin for Halloween.
chili,?t,/?t??li/,I like spicy chili.
corn,b?p ngô,/k??rn/,Corn is my favorite vegetable.
mushroom,n?m,/?m??ru?m/,He added mushrooms to the pizza.
pepper,?t chuông,/?pep?r/,I like red peppers in my salad.
bean,??u,/bi?n/,We ate rice with beans.
peas,??u Hà Lan,/pi?z/,Peas are small and sweet.
eggplant,cà tím,/?e?plænt/,Eggplant is used in many dishes.
zucchini,bí xanh,/zu??ki?ni/,Zucchini can be grilled or fried.
radish,c? c?i,/?ræd??/,Radishes add crunch to salads.
