English,Vietnamese,IPA,Example
family,gia ?ình,/?fæm?li/,My family is very big.
father,"cha, b?",/?f??ð?r/,My father works in an office.
mother,m?,/?m?ð?r/,My mother is a teacher.
parents,cha m?,/?per?nts/,My parents love me very much.
son,con trai,/s?n/,Their son is five years old.
daughter,con gái,/?d??t?r/,Her daughter goes to school.
brother,"anh, em trai",/?br?ð?r/,My brother likes football.
sister,"ch?, em gái",/?s?st?r/,I have two sisters.
husband,ch?ng,/?h?zb?nd/,Her husband is a doctor.
wife,v?,/wa?f/,His wife is very kind.
grandfather,ông n?i/ngo?i,/??rænf??ð?r/,My grandfather tells great stories.
grandmother,bà n?i/ngo?i,/??rænm?ð?r/,My grandmother makes delicious cakes.
grandson,cháu trai,/??ræns?n/,Their grandson lives abroad.
granddaughter,cháu gái,/??rænd??t?r/,She loves her granddaughter.
uncle,"chú, c?u, bác trai",/???k?l/,My uncle lives in Hanoi.
aunt,"cô, dì, bác gái",/ænt/,My aunt is visiting us today.
cousin,anh/ch?/em h?,/?k?z?n/,My cousins are very friendly.
nephew,cháu trai (con c?a anh/ch?/em),/?nefju?/,I bought a gift for my nephew.
niece,cháu gái (con c?a anh/ch?/em),/ni?s/,Her niece is only two years old.
parents-in-law,b? m? ch?ng/v?,/?per?nts ?n l??/,I respect my parents-in-law.
father-in-law,b? ch?ng/v?,/?f??ð?r ?n l??/,His father-in-law is kind.
mother-in-law,m? ch?ng/v?,/?m?ð?r ?n l??/,Her mother-in-law is helpful.
husband,ch?ng,/?h?zb?nd/,Her husband works overseas.
wife,v?,/wa?f/,My wife loves cooking.
twins,sinh ?ôi,/tw?nz/,The twins look exactly the same.
