Word,Meaning (Vietnamese),IPA,Example
head,đầu,/hed/,He hurt his head.
hair,tóc,/her/,Her hair is long.
face,khuôn mặt,/feɪs/,She has a nice face.
eye,mắt,/aɪ/,My eye hurts.
ear,tai,/ɪr/,My ears are cold.
nose,mũi,/noʊz/,My nose is running.
mouth,miệng,/maʊθ/,My mouth is dry.
tooth,răng,/tuːθ/,I lost a tooth.
tongue,lưỡi,/tʌŋ/,The cat licked its tongue.
neck,cổ,/nek/,He wears a tie on his neck.
shoulder,vai,/ˈʃoʊl.dɚ/,My shoulder hurts.
arm,cánh tay,/ɑːrm/,Her arm is broken.
hand,bàn tay,/hænd/,I washed my hands.
finger,ngón tay,/ˈfɪŋ.ɡɚ/,He pointed his finger.
thumb,ngón cái,/θʌm/,I hit my thumb.
chest,ngực,/tʃest/,He felt pain in his chest.
stomach,bụng,/ˈstʌmək/,My stomach is full.
back,lưng,/bæk/,My back is sore.
leg,chân,/leɡ/,My leg is tired.
knee,đầu gối,/niː/,He hurt his knee.
foot,bàn chân,/fuːt/,My foot is swollen.
toe,ngón chân,/toʊ/,I stubbed my toe.
skin,da,/skɪn/,Her skin is soft.
heart,tim,/hɑːrt/,He has a kind heart.
brain,não,/breɪn/,Use your brain.
