English,Vietnamese,IPA,Example
head,đầu,/hed/,He has a headache.
hair,tóc,/heər/,She has long black hair.
face,mặt,/feɪs/,He washed his face.
eye,mắt,/aɪ/,My eyes are brown.
ear,tai,/ɪər/,She wears earrings on her ears.
nose,mũi,/noʊz/,He has a small nose.
mouth,miệng,/maʊθ/,Open your mouth, please.
tooth,răng,/tuːθ/,I brush my teeth twice a day.
tongue,lưỡi,/tʌŋ/,The cat licked its tongue.
neck,cổ,/nek/,He wears a tie around his neck.
shoulder,vai,/ˈʃoʊldər/,She carried the bag on her shoulder.
arm,cánh tay,/ɑːrm/,He broke his arm.
hand,bàn tay,/hænd/,Shake hands with me!
finger,ngón tay,/ˈfɪŋɡər/,He wore a ring on his finger.
thumb,ngón cái,/θʌm/,She gave me a thumbs-up.
chest,ngực,/tʃest/,He felt pain in his chest.
stomach,bụng,/ˈstʌmək/,My stomach hurts after lunch.
back,lưng,/bæk/,He lay on his back.
leg,chân,/leɡ/,Her legs are long.
knee,đầu gối,/niː/,He hurt his knee while running.
foot,bàn chân,/fʊt/,My foot is sore.
toe,ngón chân,/toʊ/,She painted her toenails.
skin,da,/skɪn/,Your skin is very soft.
heart,tim,/hɑːrt/,Exercise is good for your heart.
brain,não,/breɪn/,The brain controls the body.
