Word,Meaning (Vietnamese),IPA,Example
job,công việc,/dʒɑːb/,He has a good job in a bank.
teacher,giáo viên,/ˈtiːtʃər/,My mother is a teacher.
student,"học sinh, sinh viên",/ˈstuːdənt/,I’m a university student.
doctor,bác sĩ,/ˈdɑːktər/,The doctor helped the patient.
nurse,y tá,/nɜːrs/,The nurse took care of me.
engineer,kỹ sư,/ˌendʒɪˈnɪr/,My brother is a software engineer.
mechanic,thợ máy,/məˈkænɪk/,The mechanic fixed my car.
driver,tài xế,/ˈdraɪvər/,The driver waited outside.
farmer,nông dân,/ˈfɑːrmər/,The farmer works in the field.
police officer,cảnh sát,/pəˈliːs ˈɑːfɪsər/,The police officer stopped the car.
firefighter,lính cứu hỏa,/ˈfaɪərfaɪtər/,Firefighters save people from danger.
soldier,người lính,/ˈsoʊldʒər/,The soldier is brave.
waiter,bồi bàn (nam),/ˈweɪtər/,The waiter brought our food.
waitress,bồi bàn (nữ),/ˈweɪtrəs/,The waitress smiled politely.
cook,đầu bếp,/kʊk/,The cook prepared a delicious meal.
chef,bếp trưởng,/ʃef/,The chef works at a fancy restaurant.
artist,"nghệ sĩ, họa sĩ",/ˈɑːrtɪst/,She is a talented artist.
musician,nhạc sĩ,/mjuˈzɪʃn/,My uncle is a jazz musician.
singer,ca sĩ,/ˈsɪŋər/,The singer has a beautiful voice.
actor,diễn viên nam,/ˈæktər/,The actor starred in a movie.
actress,diễn viên nữ,/ˈæktrəs/,The actress won an award.
writer,nhà văn,/ˈraɪtər/,He is a famous writer.
reporter,phóng viên,/rɪˈpɔːrtər/,The reporter is on TV now.
scientist,nhà khoa học,/ˈsaɪəntɪst/,The scientist made an amazing discovery.
pilot,phi công,/ˈpaɪlət/,
