Word,Mean,IPA,Example
second,giây,/?sek.?nd/,There are sixty seconds in a minute.
minute,phút,/?m?n.?t/,The meeting will start in ten minutes.
hour,gi?,/?a??r/,I sleep for eight hours every night.
day,ngày,/de?/,My birthday is on the same day every year.
week,tu?n,/wi?k/,There are seven days in a week.
month,tháng,/m?n?/,February is the shortest month.
year,n?m,/j??r/,I plan to travel next year.
today,hôm nay,/t??de?/,Today is very sunny.
yesterday,hôm qua,/?jes.t?.de?/,I went to the park yesterday.
tomorrow,ngày mai,/t??m?r.??/,We will meet tomorrow.
morning,bu?i sáng,/?m??.n??/,I drink coffee every morning.
afternoon,bu?i chi?u,/???f.t??nu?n/,I have a meeting this afternoon.
evening,bu?i t?i,/?i?v.n??/,We went for a walk in the evening.
night,ban ?êm,/na?t/,The stars shine at night.
midnight,n?a ?êm,/?m?d.na?t/,The train arrives at midnight.
Monday,th? Hai,/?m?n.de?/,I usually start work on Monday.
Tuesday,th? Ba,/?tju?z.de?/,Tuesday is my busiest day.
Wednesday,th? T?,/?wenz.de?/,I have a meeting every Wednesday.
Thursday,th? N?m,/????z.de?/,Thursday is almost the weekend.
Friday,th? Sáu,/?fra?.de?/,Friday is my favorite day of the week.
Saturday,th? B?y,/?sæt.?.de?/,We go shopping on Saturday.
Sunday,Ch? Nh?t,/?s?n.de?/,Sunday is a day to relax.
