Word,Vietnamese Meaning,IPA,Example
Vietnam,Việt Nam,/ˈviːetnæm/,Vietnam is a beautiful country.
Vietnamese,người Việt Nam,/ˌviːetnəˈmiːz/,She is Vietnamese.
Japan,Nhật Bản,/dʒəˈpæn/,Japan is famous for its technology.
Japanese,người Nhật Bản,/ˌdʒæpəˈniːz/,Sushi is a popular Japanese dish.
China,Trung Quốc,/ˈtʃaɪnə/,China is the most populous country.
Chinese,người Trung Quốc,/ˌtʃaɪˈniːz/,He speaks Chinese fluently.
Korea,Hàn Quốc,/kəˈriːə/,Korea has a rich culture.
Korean,người Hàn Quốc,/kəˈriːən/,Kimchi is a famous Korean food.
Thailand,Thái Lan,/ˈtaɪlænd/,Thailand is known for its beaches.
Thai,người Thái Lan,/taɪ/,She is Thai and loves spicy food.
USA,Mỹ,/ˌjuːɛsˈeɪ/,The USA has fifty states.
American,người Mỹ,/əˈmerɪkən/,He is an American citizen.
England,Anh,/ˈɪŋɡlənd/,England is part of the UK.
English,người Anh,/ˈɪŋɡlɪʃ/,English tea is very famous.
France,Pháp,/fræns/,France is known for its cuisine.
French,người Pháp,/frentʃ/,She is a French artist.
Germany,Đức,/ˈdʒɜːrməni/,Germany makes great cars.
German,người Đức,/ˈdʒɜːrmən/,He is a German engineer.
Italy,Ý,/ˈɪtəli/,Italy is famous for pizza.
Italian,người Ý,/ɪˈtæliən/,She loves Italian food.
Spain,Tây Ban Nha,/speɪn/,Spain is a sunny country.
Spanish,người Tây Ban Nha,/ˈspænɪʃ/,He speaks Spanish very well.
Australia,Úc,/ɔːˈstreɪliə/,Australia is home to kangaroos.
Australian,người Úc,/ɔːˈstreɪliən/,My teacher is Australian.
Canada,Canada,/ˈkænədə/,Canada is a large and peaceful country.
Canadian,người Canada,/kəˈneɪdiən/,She is a Canadian student.
