Word,Meaning,IPA,Example
bread,bánh mì,/bred/,I eat bread for breakfast.
rice,"cơm, gạo",/raɪs/,We have rice every day.
noodles,"mì, bún",/ˈnuːdlz/,She likes eating noodles.
soup,"súp, canh",/suːp/,The soup is hot and delicious.
chicken,thịt gà,/ˈtʃɪkən/,He cooked fried chicken.
beef,thịt bò,/biːf/,I ordered beef steak.
pork,thịt heo,/pɔːrk/,Pork is cheaper than beef.
fish,cá,/fɪʃ/,I like grilled fish.
shrimp,tôm,/ʃrɪmp/,We had shrimp for dinner.
egg,trứng,/eɡ/,She fried two eggs.
cheese,phô mai,/tʃiːz/,Cheese is made from milk.
butter,bơ,/ˈbʌtər/,He spread butter on the bread.
salad,rau trộn,/ˈsæləd/,I eat salad to stay healthy.
pizza,bánh pizza,/ˈpiːtsə/,Let’s order a pizza tonight.
sandwich,bánh sandwich,/ˈsændwɪtʃ/,I made a sandwich for lunch.
hamburger,bánh mì kẹp thịt,/ˈhæmbɜːrɡər/,He bought a hamburger.
pasta,mì ống,/ˈpæstə/,She loves Italian pasta.
cake,bánh ngọt,/keɪk/,The birthday cake looks tasty.
ice cream,kem,/ˈaɪs kriːm/,Children love ice cream.
chocolate,sô-cô-la,/ˈtʃɒklət/,I eat chocolate when I’m sad.
water,nước,/ˈwɔːtər/,Drink more water every day.
juice,nước ép,/dʒuːs/,Orange juice is my favorite.
milk,sữa,/mɪlk/,Milk is good for your bones.
coffee,cà phê,/ˈkɔːfi/,He drinks coffee every morning.
tea,trà,/tiː/,She likes green tea.
soda,nước ngọt có ga,/ˈsoʊdə/,I don’t drink soda often.
wine,rượu vang,/waɪn/,They served red wine with dinner.
beer,bia,/bɪr/,He ordered a cold beer.
