Word,Meaning (Vietnamese),IPA,Example
school,trường học,/skuːl/,My school is very big.
classroom,lớp học,/ˈklæsruːm/,The students are in the classroom.
teacher,giáo viên,/ˈtiːtʃər/,The teacher explains the lesson.
student,học sinh,/ˈstuːdənt/,She is a good student.
principal,hiệu trưởng,/ˈprɪnsəpl/,The principal gave a speech.
lesson,bài học,/ˈlesn/,Today’s lesson is about history.
subject,môn học,/ˈsʌbdʒɪkt/,Math is my favorite subject.
homework,bài tập về nhà,/ˈhoʊmwɜːrk/,I do my homework every evening.
exam,kỳ thi,/ɪɡˈzæm/,The exam is next week.
test,bài kiểm tra,/test/,We have a test tomorrow.
book,sách,/bʊk/,I borrowed a book from the library.
notebook,vở,/ˈnoʊtbʊk/,Write your notes in the notebook.
pen,bút mực,/pen/,I need a pen to write.
pencil,bút chì,/ˈpensl/,He drew a picture with a pencil.
ruler,thước kẻ,/ˈruːlər/,Use the ruler to draw a straight line.
eraser,cục tẩy,/ɪˈreɪsər/,I erased the mistake with an eraser.
library,thư viện,/ˈlaɪbreri/,The library has many books.
university,trường đại học,/ˌjuːnɪˈvɜːrsəti/,She studies at a university.
college,trường cao đẳng,/ˈkɑːlɪdʒ/,He goes to college in New York.
education,giáo dục,/ˌedʒuˈkeɪʃn/,Education is very important for children.
blanket,ch?n,/?blæ?k?t/,He covered himself with a blanket.
towel,kh?n t?m,/?ta??l/,I need a towel after taking a shower.
toothbrush,bàn ch?i ?ánh r?ng,/?tu??br??/,Don’t forget your toothbrush!
soap,xà phòng,/s??p/,Wash your hands with soap.
bucket,cái xô,/?b?k?t/,She filled the bucket with water.
