Word,Vietnamese Meaning,IPA,Example
happy,hạnh phúc,/ˈhæpi/,She feels happy when she listens to music.
sad,buồn,/sæd/,He looks sad today.
angry,tức giận,/ˈæŋɡri/,I was angry because he was late.
excited,hào hứng,/ɪkˈsaɪtɪd/,The children are excited about the trip.
nervous,lo lắng,/ˈnɜːrvəs/,I feel nervous before the exam.
tired,mệt mỏi,/ˈtaɪərd/,She is tired after working all day.
bored,chán nản,/bɔːrd/,He gets bored during long meetings.
surprised,ngạc nhiên,/sərˈpraɪzd/,I was surprised by the good news.
scared,sợ hãi,/skerd/,The child is scared of the dark.
worried,lo lắng,/ˈwɜːrid/,Don’t be worried about your test.
confident,tự tin,/ˈkɑːnfɪdənt/,She is confident in her English skills.
shy,nhút nhát,/ʃaɪ/,He is too shy to talk to strangers.
lonely,cô đơn,/ˈloʊnli/,I sometimes feel lonely when I’m at home.
proud,tự hào,/praʊd/,I’m proud of my achievements.
relaxed,thư giãn,/rɪˈlækst/,I feel relaxed after a long bath.
jealous,ghen tị,/ˈdʒeləs/,She was jealous of her friend’s success.
confused,bối rối,/kənˈfjuːzd/,He looked confused by the question.
disappointed,thất vọng,/ˌdɪsəˈpɔɪntɪd/,We were disappointed with the result.
hopeful,đầy hy vọng,/ˈhoʊpfəl/,I’m hopeful about the future.
grateful,biết ơn,/ˈɡreɪtfəl/,I’m grateful for your help.
