T?,Ngh?a ti?ng Vi?t,IPA,Ví d?
music,âm nh?c,/?mju?.z?k/,I love listening to classical music.
song,bài hát,/s??/,This is my favorite song.
singer,ca s?,/?s??.?r/,The singer has a beautiful voice.
band,ban nh?c,/bænd/,The band is performing tonight.
concert,bu?i hòa nh?c,/?k?n.s?t/,We went to a concert last night.
melody,giai ?i?u,/?mel.?.di/,The melody of this song is very sweet.
rhythm,nh?p ?i?u,/?r?ð.?m/,I like the rhythm of this track.
piano,?àn piano,/pi?æn.??/,She plays the piano very well.
guitar,?àn ghi-ta,/???t??r/,He can play both acoustic and electric guitar.
violin,?àn v? c?m,/?va?.??l?n/,The violin sounds so emotional.
drum,tr?ng,/dr?m/,He plays the drum in a rock band.
flute,sáo,/flu?t/,"The flute produces a soft, gentle sound."
trumpet,kèn trumpet,/?tr?m.p?t/,The trumpet is often used in jazz music.
saxophone,kèn saxophone,/?sæk.s?.f??n/,He is learning to play the saxophone.
keyboard,?àn phím ?i?n t?,/?ki?.b??d/,I bought a new keyboard for practice.
microphone,micro,/?ma?.kr?.f??n/,The singer forgot her microphone on stage.
composer,nhà so?n nh?c,/k?m?p??.z?r/,Beethoven was a great composer.
orchestra,dàn nh?c giao h??ng,/???.k?.str?/,The orchestra played beautifully.
lyrics,l?i bài hát,/?l?r.?ks/,The lyrics of this song are very meaningful.
tune,?i?u nh?c,/tju?n/,I can’t get this tune out of my head.
