Word,Meaning (Vietnamese),IPA,Example
car,ô tô,/kɑːr/,My father drives a car to work.
bus,xe buýt,/bʌs/,I go to school by bus.
bicycle,xe đạp,/ˈbaɪsɪkl/,She rides her bicycle every morning.
motorbike,xe máy,/ˈmoʊtərbaɪk/,He goes to work by motorbike.
train,tàu hỏa,/treɪn/,The train leaves at 9 o’clock.
airplane,máy bay,/ˈerpleɪn/,We traveled to Japan by airplane.
taxi,xe taxi,/ˈtæksi/,They took a taxi to the airport.
boat,thuyền,/boʊt/,The boat is sailing on the river.
ship,tàu thủy,/ʃɪp/,The ship arrived at the port.
subway,tàu điện ngầm,/ˈsʌbweɪ/,He takes the subway every day.
truck,xe tải,/trʌk/,The truck carries heavy goods.
helicopter,trực thăng,/ˈhelɪkɑːptər/,The helicopter flew over the city.
scooter,xe tay ga,/ˈskuːtər/,She bought a new scooter last week.
van,xe tải nhỏ,/væn/,The delivery van is outside.
train station,ga tàu,/ˈtreɪn steɪʃn/,We met at the train station.
airport,sân bay,/ˈerpɔːrt/,The airport is very crowded today.
traffic light,đèn giao thông,/ˈtræfɪk laɪt/,Stop when the traffic light is red.
road,con đường,/roʊd/,The road is very busy.
bridge,cây cầu,/brɪdʒ/,The car crossed the bridge.
wheel,bánh xe,/wiːl/,The wheel of my bike is broken.
seatbelt,dây an toàn,/ˈsiːtbelt/,Always wear your seatbelt in the car.
petrol,xăng,/ˈpetrəl/,The car needs more petrol.
driver,tài xế,/ˈdraɪvər/,The driver stopped the bus safely.
passenger,hành khách,/ˈpæsɪndʒər/,There are many passengers on the train.
map,bản đồ,/mæp/,He checked the map before leaving.
