Word,Meaning (Vietnamese),IPA,Example
zero,số không,/ˈzɪəroʊ/,There are zero apples left in the basket.
one,một,/wʌn/,I have one brother.
two,hai,/tuː/,She has two cats.
three,ba,/θriː/,I bought three books yesterday.
four,bốn,/fɔːr/,He has four chairs in his room.
five,năm,/faɪv/,There are five students in the group.
six,sáu,/sɪks/,She ate six cookies.
seven,bảy,/ˈsevən/,There are seven days in a week.
eight,tám,/eɪt/,I need eight pencils for the class.
nine,chín,/naɪn/,There are nine apples on the table.
ten,mười,/ten/,I can count to ten in English.
eleven,mười một,/ɪˈlevən/,Eleven students came to class today.
twelve,mười hai,/twelv/,The clock shows twelve o’clock.
thirteen,mười ba,/ˌθɜːrˈtiːn/,My little sister is thirteen years old.
fourteen,mười bốn,/ˌfɔːrˈtiːn/,There are fourteen chairs in the room.
fifteen,mười lăm,/ˌfɪfˈtiːn/,I bought fifteen candies for the party.
twenty,hai mươi,/ˈtwenti/,There are twenty students in the classroom.
thirty,ba mươi,/ˈθɜːrti/,The bus arrives in thirty minutes.
hundred,một trăm,/ˈhʌndrəd/,There are one hundred pages in the book.
thousand,một nghìn,/ˈθaʊzənd/,The city has a population of one thousand people.
