English,Vietnamese,IPA,Example
job,công vi?c,/d???b/,He has a good job in a bank.
teacher,giáo viên,/?ti?t??r/,My mother is a teacher.
student,"h?c sinh, sinh viên",/?stu?d?nt/,I’m a university student.
doctor,bác s?,/?d??kt?r/,The doctor helped the patient.
nurse,y tá,/n??rs/,The nurse took care of me.
engineer,k? s?,/?end???n?r/,My brother is a software engineer.
mechanic,th? máy,/m??kæn?k/,The mechanic fixed my car.
driver,tài x?,/?dra?v?r/,The driver waited outside.
farmer,nông dân,/?f??rm?r/,The farmer works in the field.
police officer,c?nh sát,/p??li?s ???f?s?r/,The police officer stopped the car.
firefighter,lính c?u h?a,/?fa??rfa?t?r/,Firefighters save people from danger.
soldier,ng??i lính,/?so?ld??r/,The soldier is brave.
waiter,b?i bàn (nam),/?we?t?r/,The waiter brought our food.
waitress,b?i bàn (n?),/?we?tr?s/,The waitress smiled politely.
cook,??u b?p,/k?k/,The cook prepared a delicious meal.
chef,b?p tr??ng,/?ef/,The chef works at a fancy restaurant.
artist,"ngh? s?, h?a s?",/???rt?st/,She is a talented artist.
musician,nh?c s?,/mju?z???n/,My uncle is a jazz musician.
singer,ca s?,/?s???r/,The singer has a beautiful voice.
actor,di?n viên nam,/?ækt?r/,The actor starred in a movie.
actress,di?n viên n?,/?æktr?s/,The actress won an award.
writer,nhà v?n,/?ra?t?r/,He is a famous writer.
reporter,phóng viên,/r??p??rt?r/,The reporter is on TV now.
scientist,nhà khoa h?c,/?sa??nt?st/,The scientist made an amazing discovery.
pilot,phi công,/?pa?l?t/,The pilot flies airplanes.
