Word,Meaning (Vietnamese),IPA,Example
carrot,cà rốt,/ˈkærət/,Carrots are good for your eyes.
potato,khoai tây,/pəˈteɪtoʊ/,I like fried potatoes.
tomato,cà chua,/təˈmeɪtoʊ/,She grows tomatoes in her garden.
cucumber,dưa leo,/ˈkjuːkʌmbər/,Cucumber is cool and refreshing.
onion,hành tây,/ˈʌnjən/,He chopped an onion.
garlic,tỏi,/ˈɡɑːrlɪk/,Garlic adds flavor to the dish.
lettuce,rau diếp,/ˈletɪs/,I made a salad with lettuce.
spinach,rau chân vịt,/ˈspɪnɪtʃ/,Spinach is rich in iron.
broccoli,bông cải xanh,/ˈbrɑːkəli/,Children often dislike broccoli.
cabbage,bắp cải,/ˈkæbɪdʒ/,She cooked cabbage soup.
pumpkin,bí ngô,/ˈpʌmpkɪn/,They carved a pumpkin for Halloween.
chili,ớt,/ˈtʃɪli/,I like spicy chili.
corn,bắp ngô,/kɔːrn/,Corn is my favorite vegetable.
mushroom,nấm,/ˈmʌʃruːm/,He added mushrooms to the pizza.
pepper,ớt chuông,/ˈpepər/,I like red peppers in my salad.
bean,đậu,/biːn/,We ate rice with beans.
peas,đậu Hà Lan,/piːz/,Peas are small and sweet.
eggplant,cà tím,/ˈeɡplænt/,Eggplant is used in many dishes.
zucchini,bí xanh,/zuːˈkiːni/,Zucchini can be grilled or fried.
radish,củ cải,/ˈrædɪʃ/,
