Word,Meaning (Vietnamese),IPA,Example
table,cái bàn,/ˈteɪbl/,The table is made of wood.
chair,cái ghế,/tʃer/,She sat on the chair.
bed,cái giường,/bed/,I sleep on my bed every night.
sofa,ghế sô pha,/ˈsoʊfə/,We sit on the sofa to watch TV.
lamp,đèn bàn,/læmp/,He turned on the lamp to read.
clock,đồng hồ treo tường,/klɑːk/,The clock shows 7 o’clock.
mirror,gương,/ˈmɪrər/,She looked in the mirror.
cupboard,"tủ chén, tủ ly",/ˈkʌbərd/,The cups are in the cupboard.
wardrobe,tủ quần áo,/ˈwɔːrdroʊb/,I keep my clothes in the wardrobe.
curtain,rèm cửa,/ˈkɜːrtən/,She opened the curtains to let the light in.
carpet,tấm thảm,/ˈkɑːrpɪt/,The carpet is very soft.
fan,quạt,/fæn/,The fan keeps the room cool.
television,tivi,/ˈtelɪvɪʒn/,They watched the news on television.
refrigerator,tủ lạnh,/rɪˈfrɪdʒəreɪtər/,The milk is in the refrigerator.
washing machine,máy giặt,/ˈwɑːʃɪŋ məˌʃiːn/,The washing machine is running.
stove,bếp,/stoʊv/,She is cooking soup on the stove.
microwave,lò vi sóng,/ˈmaɪkrəweɪv/,Heat the food in the microwave.
broom,cây chổi,/bruːm/,She used a broom to sweep the floor.
vacuum cleaner,máy hút bụi,/ˈvækjuːm ˈkliːnər/,He used a vacuum cleaner to clean the carpet.
pillow,cái gối,/ˈpɪloʊ/,She put her head on the pillow.
blanket,chăn,/ˈblæŋkɪt/,He covered himself with a blanket.
towel,khăn tắm,/ˈtaʊəl/,I need a towel after taking a shower.
toothbrush,bàn chải đánh răng,/ˈtuːθbrʌʃ/,Don’t forget your toothbrush!
soap,xà phòng,/soʊp/,Wash your hands with soap.
bucket,cái xô,/ˈbʌkɪt/,She filled the bucket with water.
