Word,Vietnamese Meaning,IPA,Example
health,s?c kh?e,/hel?/,Good health is very important.
illness,b?nh t?t,/??l.n?s/,She missed school because of illness.
disease,c?n b?nh,/d??zi?z/,Heart disease is a common problem.
headache,?au ??u,/?hed.e?k/,I have a headache after studying too long.
stomachache,?au b?ng,/?st?m.?k.e?k/,He has a stomachache after eating too much.
toothache,?au r?ng,/?tu??.e?k/,She went to the dentist because of a toothache.
fever,s?t,/?fi?.v?r/,He has a high fever.
cough,ho,/k?f/,I can’t stop coughing.
cold,c?m l?nh,/k??ld/,She caught a cold last week.
flu,c?m cúm,/flu?/,The flu spreads easily in winter.
sore throat,?au h?ng,/?s?? ??r??t/,I can’t speak well because of a sore throat.
backache,?au l?ng,/?bæk.e?k/,My father has a backache after work.
allergy,d? ?ng,/?æl.?.d?i/,She has an allergy to peanuts.
injury,ch?n th??ng,/??n.d??r.i/,He got a knee injury while playing football.
medicine,thu?c,/?med.?.s?n/,You should take your medicine twice a day.
doctor,bác s?,/?d?k.t?r/,I need to see a doctor.
nurse,y tá,/n??s/,The nurse took care of the patients.
hospital,b?nh vi?n,/?h?s.p?.t?l/,He was taken to the hospital after the accident.
healthy,kh?e m?nh,/?hel.?i/,Eating fruits and vegetables helps you stay healthy.
patient,b?nh nhân,/?pe?.??nt/,The patient is recovering well.
