Word,Meaning,IPA,Example
red,màu ??,/red/,The apple is red.
blue,màu xanh d??ng,/blu?/,The sky is blue.
green,màu xanh lá,/?ri?n/,The grass is green.
yellow,màu vàng,/?jel??/,The sun is yellow.
black,màu ?en,/blæk/,He wears a black shirt.
white,màu tr?ng,/wa?t/,Snow is white.
orange,màu cam,/??r?nd?/,She ate an orange.
pink,màu h?ng,/p??k/,Her dress is pink.
purple,màu tím,/?p??pl/,I like purple flowers.
brown,màu nâu,/bra?n/,The dog has brown fur.
gray,màu xám,/?re?/,The clouds are gray today.
silver,màu b?c,/?s?lv?r/,She bought a silver necklace.
gold,màu vàng kim,/?o?ld/,The ring is made of gold.
beige,màu be,/be??/,He painted the wall beige.
navy,màu xanh n??c bi?n ??m,/?ne?vi/,He wore a navy jacket.
violet,màu tím nh?t,/?va??l?t/,Violets are small purple flowers.
turquoise,màu ng?c lam,/?t??kw??z/,I love the turquoise sea.
cyan,màu xanh l?,/?sa??n/,The logo is cyan and white.
magenta,màu ?? tím,/m??d?ent?/,The poster has magenta text.
maroon,màu nâu ??,/m??ru?n/,He drives a maroon car.
