Word,Meaning,IPA,Example
car,ô tô,/k??r/,My father drives a car to work.
bus,xe buýt,/b?s/,I go to school by bus.
bicycle,xe ??p,/?ba?s?kl/,She rides her bicycle every morning.
motorbike,xe máy,/?m??t?rba?k/,He goes to work by motorbike.
train,tàu h?a,/tre?n/,The train leaves at 9 o’clock.
airplane,máy bay,/?e?ple?n/,We traveled to Japan by airplane.
taxi,xe taxi,/?tæksi/,They took a taxi to the airport.
boat,thuy?n,/b??t/,The boat is sailing on the river.
ship,tàu th?y,/??p/,The ship arrived at the port.
subway,tàu ?i?n ng?m,/?s?bwe?/,He takes the subway every day.
truck,xe t?i,/tr?k/,The truck carries heavy goods.
helicopter,tr?c th?ng,/?hel?k?pt?r/,The helicopter flew over the city.
scooter,xe tay ga,/?sku?t?r/,She bought a new scooter last week.
van,xe t?i nh?,/væn/,The delivery van is outside.
train station,ga tàu,/?tre?n ste??n/,We met at the train station.
airport,sân bay,/?e?p??t/,The airport is very crowded today.
traffic light,?èn giao thông,/?træf?k la?t/,Stop when the traffic light is red.
road,con ???ng,/r??d/,The road is very busy.
bridge,cây c?u,/br?d?/,The car crossed the bridge.
wheel,bánh xe,/wi?l/,The wheel of my bike is broken.
seatbelt,dây an toàn,/?si?tbelt/,Always wear your seatbelt in the car.
petrol,x?ng,/?petr?l/,The car needs more petrol.
driver,tài x?,/?dra?v?r/,The driver stopped the bus safely.
passenger,hành khách,/?pæs?nd??r/,There are many passengers on the train.
map,b?n ??,/mæp/,He checked the map before leaving.
