Word,Meaning (Vietnamese),IPA,Example
apple,táo,/ˈæpl/,She eats an apple every morning.
banana,chuối,/bəˈnænə/,The monkey is eating a banana.
orange,cam,/ˈɔːrɪndʒ/,I like drinking orange juice.
grape,nho,/ɡreɪp/,The grapes are sweet and fresh.
mango,xoài,/ˈmæŋɡoʊ/,Mangoes are very popular in Vietnam.
pineapple,dứa,/ˈpaɪnæpl/,Pineapple is a tropical fruit.
watermelon,dưa hấu,/ˈwɔːtərmelən/,The watermelon is very juicy.
strawberry,dâu tây,/ˈstrɔːberi/,Strawberries are my favorite fruit.
lemon,chanh,/ˈlemən/,Lemon juice is sour.
lime,chanh xanh,/laɪm/,Lime is used to make drinks.
cherry,anh đào,/ˈtʃeri/,She put a cherry on top of the cake.
peach,đào,/piːtʃ/,The peach tastes sweet and soft.
pear,lê,/per/,The pear is ripe and ready to eat.
plum,mận,/plʌm/,He bought a bag of fresh plums.
papaya,đu đủ,/pəˈpaɪə/,Papaya is good for digestion.
coconut,dừa,/ˈkoʊkənʌt/,Coconut water is very refreshing.
avocado,bơ,/ˌævəˈkɑːdoʊ/,Avocado is rich in vitamins.
kiwi,kiwi,/ˈkiːwiː/,Kiwi is small but full of nutrients.
pomegranate,lựu,/ˈpɑːmɪɡrænɪt/,Pomegranate juice is healthy.
dragon fruit,thanh long,/ˈdræɡən fruːt/,Dragon fruit has a beautiful color.
jackfruit,mít,/ˈdʒækfruːt/,Jackfruit is large and sweet.
durian,sầu riêng,/ˈdʊriən/,Durian has a strong smell.
blueberry,việt quất,/ˈbluːberi/,Blueberries are used in muffins.
grapefruit,bưởi,/ˈɡreɪpfruːt/,Grapefruit is slightly bitter.
melon,dưa gang,/ˈmelən/,Melon is cool and refreshing in summer.
