Word,Vietnamese Meaning,IPA,Example
wake up,th?c d?y,/we?k ?p/,I usually wake up at 6 a.m.
get up,ra kh?i gi??ng,/?et ?p/,He gets up and goes to the bathroom.
brush teeth,?ánh r?ng,/br?? ti??/,She brushes her teeth after breakfast.
wash face,r?a m?t,/w?? fe?s/,I wash my face with cold water.
take a shower,t?m (vòi sen),/te?k ? ??a?.?r/,He takes a shower before going to work.
have breakfast,?n sáng,/hæv ?brek.f?st/,We have breakfast together every morning.
go to school,?i h?c,/??? tu? sku?l/,The children go to school at 7 o’clock.
go to work,?i làm,/??? tu? w??k/,My father goes to work by bus.
study,h?c t?p,/?st?d.i/,I study English every day.
have lunch,?n tr?a,/hæv l?nt?/,They have lunch at the cafeteria.
take a nap,ng? tr?a,/te?k ? næp/,I usually take a nap after lunch.
go shopping,?i mua s?m,/??? ???p.??/,She goes shopping every weekend.
cook dinner,n?u b?a t?i,/k?k ?d?n.?r/,My mom cooks dinner for the family.
have dinner,?n t?i,/hæv ?d?n.?r/,We have dinner at 7 p.m.
watch TV,xem tivi,/w?t? ?ti??vi?/,I watch TV after dinner.
do homework,làm bài t?p v? nhà,/du? ?h??m.w??k/,She does her homework before bed.
take a walk,?i d?o,/te?k ? w??k/,We take a walk after dinner.
go to bed,?i ng?,/??? tu? bed/,I go to bed at 10 p.m.
sleep,ng?,/sli?p/,He sleeps for eight hours every night.
get dressed,m?c qu?n áo,/?et drest/,She gets dressed quickly in the morning.
