Word,Meaning (Vietnamese),IPA,Example
second,giây,/ˈsekənd/,There are sixty seconds in a minute.
minute,phút,/ˈmɪnɪt/,The meeting will start in ten minutes.
hour,giờ,/ˈaʊər/,I sleep for eight hours every night.
day,ngày,/deɪ/,My birthday is on the same day every year.
week,tuần,/wiːk/,There are seven days in a week.
month,tháng,/mʌnθ/,February is the shortest month.
year,năm,/jɪr/,I plan to travel next year.
today,hôm nay,/təˈdeɪ/,Today is very sunny.
yesterday,hôm qua,/ˈjestərdeɪ/,I went to the park yesterday.
tomorrow,ngày mai,/təˈmɑːroʊ/,We will meet tomorrow.
morning,buổi sáng,/ˈmɔːrnɪŋ/,I drink coffee every morning.
afternoon,buổi chiều,/ˌæftərˈnuːn/,I have a meeting this afternoon.
evening,buổi tối,/ˈiːvnɪŋ/,We went for a walk in the evening.
night,ban đêm,/naɪt/,The stars shine at night.
midnight,nửa đêm,/ˈmɪdnaɪt/,The train arrives at midnight.
Monday,Thứ Hai,/ˈmʌndeɪ/,I usually start work on Monday.
Tuesday,Thứ Ba,/ˈtuːzdeɪ/,Tuesday is my busiest day.
Wednesday,Thứ Tư,/ˈwenzdeɪ/,I have a meeting every Wednesday.
Thursday,Thứ Năm,/ˈθɜːrzdeɪ/,Thursday is almost the weekend.
Friday,Thứ Sáu,/ˈfraɪdeɪ/,Friday is my favorite day of the week.
Saturday,Thứ Bảy,/ˈsætərdeɪ/,We go shopping on Saturday.
Sunday,Chủ Nhật,/ˈsʌndeɪ/,Sunday is a day to relax.
