Word,Meaning,IPA,Example
wake up,thức dậy,/weɪk ʌp/,I usually wake up at 6 a.m.
get up,ra khỏi giường,/ɡet ʌp/,He gets up and goes to the bathroom.
brush teeth,đánh răng,/brʌʃ tiːθ/,She brushes her teeth after breakfast.
wash face,rửa mặt,/wɒʃ feɪs/,I wash my face with cold water.
take a shower,tắm (vòi sen),/teɪk ə ˈʃaʊər/,He takes a shower before going to work.
have breakfast,ăn sáng,/hæv ˈbrekfəst/,We have breakfast together every morning.
go to school,đi học,/ɡoʊ tuː skuːl/,The children go to school at 7 o’clock.
go to work,đi làm,/ɡoʊ tuː wɜːrk/,My father goes to work by bus.
study,học tập,/ˈstʌdi/,I study English every day.
have lunch,ăn trưa,/hæv lʌntʃ/,They have lunch at the cafeteria.
take a nap,ngủ trưa,/teɪk ə næp/,I usually take a nap after lunch.
go shopping,đi mua sắm,/ɡoʊ ˈʃɑːpɪŋ/,She goes shopping every weekend.
cook dinner,nấu bữa tối,/kʊk ˈdɪnər/,My mom cooks dinner for the family.
have dinner,ăn tối,/hæv ˈdɪnər/,We have dinner at 7 p.m.
watch TV,xem tivi,/wɑːtʃ ˌtiːˈviː/,I watch TV after dinner.
do homework,làm bài tập về nhà,/duː ˈhoʊmwɜːrk/,She does her homework before bed.
take a walk,đi dạo,/teɪk ə wɔːk/,We take a walk after dinner.
go to bed,đi ngủ,/ɡoʊ tuː bed/,I go to bed at 10 p.m.
sleep,ngủ,/sliːp/,He sleeps for eight hours every night.
get dressed,mặc quần áo,/ɡet drest/,She gets dressed quickly in the morning.
water,nước,/ˈwɔːtər/,Drink more water every day.
juice,nước ép,/dʒuːs/,Orange juice is my favorite.
milk,sữa,/mɪlk/,Milk is good for your bones.
coffee,cà phê,/ˈkɔːfi/,He drinks coffee every morning.
tea,trà,/tiː/,She likes green tea.
soda,nước ngọt có ga,/ˈsoʊdə/,I don’t drink soda often.
wine,rượu vang,/waɪn/,They served red wine with dinner.
beer,bia,/bɪr/,He ordered a cold beer.
