Word,Meaning (Vietnamese),IPA,Example
music,âm nhạc,/ˈmjuːzɪk/,I love listening to classical music.
song,bài hát,/sɔːŋ/,This is my favorite song.
singer,ca sĩ,/ˈsɪŋər/,The singer has a beautiful voice.
band,ban nhạc,/bænd/,The band is performing tonight.
concert,buổi hòa nhạc,/ˈkɒnsərt/,We went to a concert last night.
melody,giai điệu,/ˈmelədi/,The melody of this song is very sweet.
rhythm,nhịp điệu,/ˈrɪðəm/,I like the rhythm of this track.
piano,đàn piano,/piˈænəʊ/,She plays the piano very well.
guitar,đàn ghi-ta,/ɡɪˈtɑːr/,He can play both acoustic and electric guitar.
violin,đàn vĩ cầm,/ˈvaɪəlɪn/,The violin sounds so emotional.
drum,trống,/drʌm/,He plays the drum in a rock band.
flute,sáo,/fluːt/,"The flute produces a soft, gentle sound."
trumpet,kèn trumpet,/ˈtrʌmpɪt/,The trumpet is often used in jazz music.
saxophone,kèn saxophone,/ˈsæksəfoʊn/,He is learning to play the saxophone.
keyboard,đàn phím điện tử,/ˈkiːbɔːrd/,I bought a new keyboard for practice.
microphone,micro,/ˈmaɪkrəfoʊn/,The singer forgot her microphone on stage.
composer,nhà soạn nhạc,/kəmˈpoʊzər/,Beethoven was a great composer.
orchestra,dàn nhạc giao hưởng,/ˈɔːrkɪstrə/,The orchestra played beautifully.
lyrics,lời bài hát,/ˈlɪrɪks/,The lyrics of this song are very meaningful.
tune,điệu nhạc,/tjuːn/,I can’t get this tune out of my head.
