Word,Meaning,IPA,Example
table,cái bàn,/?te?bl/,The table is made of wood.
chair,cái gh?,/t?e?r/,She sat on the chair.
bed,cái gi??ng,/bed/,I sleep on my bed every night.
sofa,gh? sô pha,/?s??f?/,We sit on the sofa to watch TV.
lamp,?èn bàn,/læmp/,He turned on the lamp to read.
clock,??ng h? treo t??ng,/kl?k/,The clock shows 7 o’clock.
mirror,g??ng,/?m?r?r/,She looked in the mirror.
cupboard,"t? chén, t? ly",/?k?b?rd/,The cups are in the cupboard.
wardrobe,t? qu?n áo,/?w??dr??b/,I keep my clothes in the wardrobe.
curtain,rèm c?a,/?k??tn/,She opened the curtains to let the light in.
carpet,t?m th?m,/?k??p?t/,The carpet is very soft.
fan,qu?t,/fæn/,The fan keeps the room cool.
television,tivi,/?tel?v??n/,They watched the news on television.
refrigerator,t? l?nh,/r??fr?d??re?t?r/,The milk is in the refrigerator.
washing machine,máy gi?t,/?w???? m??i?n/,The washing machine is running.
stove,b?p,/st??v/,She is cooking soup on the stove.
microwave,lò vi sóng,/?ma?kr?we?v/,Heat the food in the microwave.
broom,cây ch?i,/bru?m/,She used a broom to sweep the floor.
vacuum cleaner,máy hút b?i,/?vækju?m ?kli?n?r/,He used a vacuum cleaner to clean the carpet.
pillow,cái g?i,/?p?l??/,She put her head on the pillow.
blanket,ch?n,/?blæ?k?t/,He covered himself with a blanket.
towel,kh?n t?m,/?ta??l/,I need a towel after taking a shower.
toothbrush,bàn ch?i ?ánh r?ng,/?tu??br??/,Don’t forget your toothbrush!
soap,xà phòng,/s??p/,Wash your hands with soap.
bucket,cái xô,/?b?k?t/,She filled the bucket with water.
