Word,Meaning (Vietnamese),IPA,Example
cat,con mèo,/kæt/,The cat is sleeping on the sofa.
dog,con chó,/dɒɡ/,The dog is barking loudly.
lion,sư tử,/ˈlaɪən/,The lion lives in the African savanna.
tiger,hổ,/ˈtaɪɡə(r)/,The tiger is a strong wild animal.
elephant,voi,/ˈɛlɪfənt/,The elephant has a long trunk.
giraffe,hươu cao cổ,/dʒɪˈrɑːf/,The giraffe has a very long neck.
monkey,khỉ,/ˈmʌŋki/,The monkey is eating a banana.
zebra,ngựa vằn,/ˈziːbrə/,The zebra has black and white stripes.
bear,gấu,/beə(r)/,The bear is catching fish in the river.
fox,cáo,/fɒks/,The fox is running through the forest.
rabbit,thỏ,/ˈræbɪt/,The rabbit is jumping in the garden.
cow,bò,/kaʊ/,The cow gives us milk.
pig,heo,/pɪɡ/,The pig is rolling in the mud.
sheep,cừu,/ʃiːp/,The sheep is eating grass.
horse,ngựa,/hɔːs/,The horse is running fast.
duck,vịt,/dʌk/,The duck is swimming in the pond.
chicken,gà,/ˈtʃɪkɪn/,The chicken lays eggs every day.
fish,cá,/fɪʃ/,The fish is swimming in the aquarium.
snake,rắn,/sneɪk/,The snake is hiding under the rock.
frog,ếch,/frɒɡ/,The frog is jumping into the water.
panda,gấu trúc,/ˈpændə/,The panda eats a lot of bamboo.
kangaroo,chuột túi,/ˌkæŋɡəˈruː/,The kangaroo jumps very high.
parrot,vẹt,/ˈpærət/,The parrot can talk.
owl,cú,/aʊl/,The owl hunts at night.
penguin,chim cánh cụt,/ˈpeŋɡwɪn/,The penguin lives in cold regions.
