English,Vietnamese,IPA,Example
shirt,áo s? mi,/???rt/,He is wearing a white shirt.
T-shirt,áo thun,/?ti? ???rt/,I like to wear T-shirts on weekends.
jacket,áo khoác,/?d?æk?t/,She put on a warm jacket.
coat,áo choàng,/ko?t/,He bought a new winter coat.
sweater,áo len,/?swet?r/,My grandmother knitted me a sweater.
jeans,qu?n jean,/d?i?nz/,I wear jeans almost every day.
trousers,qu?n dài,/?tra?z?rz/,He wears black trousers to work.
shorts,qu?n ng?n,/???rts/,"It’s hot, so I’m wearing shorts."
skirt,váy ng?n,/sk??rt/,She bought a beautiful skirt.
dress,váy li?n,/dres/,Her red dress looks stunning.
suit,b? com-lê,/su?t/,He wore a suit to the interview.
tie,cà v?t,/ta?/,He is adjusting his tie.
belt,th?t l?ng,/belt/,My belt is made of leather.
hat,m?,/hæt/,She wore a big hat to the beach.
cap,nón l??i trai,/kæp/,He bought a new baseball cap.
socks,"t?t, v?",/s??ks/,I need a new pair of socks.
shoes,giày,/?u?z/,Her shoes are very comfortable.
boots,?ng,/bu?ts/,He wears boots in the rain.
gloves,g?ng tay,/?l?vz/,She put on gloves because it’s cold.
scarf,kh?n quàng c?,/sk??rf/,I love my red wool scarf.
pajamas,?? ng?,/p??d???m?z/,He changed into his pajamas.
underwear,?? lót,/??nd?rwer/,I bought new underwear.
swimsuit,?? b?i,/?sw?msu?t/,She wore a blue swimsuit.
raincoat,áo m?a,/?re?nko?t/,Don’t forget your raincoat!
uniform,??ng ph?c,/?ju?n?f??rm/,Students must wear a uniform.
