Word,Meaning,IPA,Example
Vietnam,Vi?t Nam,/?vi?et?næm/,Vietnam is a beautiful country.
Vietnamese,ng??i Vi?t Nam,/?vi?etn??mi?z/,She is Vietnamese.
Japan,Nh?t B?n,/d???pæn/,Japan is famous for its technology.
Japanese,ng??i Nh?t B?n,/?d?æp??ni?z/,Sushi is a popular Japanese dish.
China,Trung Qu?c,/?t?a?n?/,China is the most populous country.
Chinese,ng??i Trung Qu?c,/?t?a??ni?z/,He speaks Chinese fluently.
Korea,Hàn Qu?c,/k??r??/,Korea has a rich culture.
Korean,ng??i Hàn Qu?c,/k??ri??n/,Kimchi is a famous Korean food.
Thailand,Thái Lan,/?ta?lænd/,Thailand is known for its beaches.
Thai,ng??i Thái Lan,/ta?/,She is Thai and loves spicy food.
USA,M?,/?ju? es ?e?/,The USA has fifty states.
American,ng??i M?,/??mer?k?n/,He is an American citizen.
England,Anh,/????l?nd/,England is part of the UK.
English,ng??i Anh,/????l??/,English tea is very famous.
France,Pháp,/fr??ns/,France is known for its cuisine.
French,ng??i Pháp,/frent?/,She is a French artist.
Germany,??c,/?d???m?ni/,Germany makes great cars.
German,ng??i ??c,/?d???m?n/,He is a German engineer.
Italy,Ý,/??t?li/,Italy is famous for pizza.
Italian,ng??i Ý,/??tæli?n/,She loves Italian food.
Spain,Tây Ban Nha,/spe?n/,Spain is a sunny country.
Spanish,ng??i Tây Ban Nha,/?spæn??/,He speaks Spanish very well.
Australia,Úc,/??stre?li?/,Australia is home to kangaroos.
Australian,ng??i Úc,/??stre?li?n/,My teacher is Australian.
Canada,Canada,/?kæn?d?/,Canada is a large and peaceful country.
Canadian,ng??i Canada,/k??ne?di?n/,She is a Canadian student.
