Word,Meaning (Vietnamese),IPA,Example
computer,máy tính,/kəmˈpjuːtər/,I use my computer to study and play games.
laptop,máy tính xách tay,/ˈlæptɑːp/,She bought a new laptop for work.
smartphone,điện thoại thông minh,/ˈsmɑːrtfoʊn/,Everyone has a smartphone nowadays.
tablet,máy tính bảng,/ˈtæblət/,He reads books on his tablet.
keyboard,bàn phím,/ˈkiːbɔːrd/,My keyboard is wireless.
mouse,chuột máy tính,/maʊs/,The mouse stopped working.
screen,màn hình,/skriːn/,The phone screen is broken.
internet,mạng internet,/ˈɪntərnet/,I can’t live without the internet.
website,trang web,/ˈwebsaɪt/,I found the information on a news website.
software,phần mềm,/ˈsɔːftwer/,The software needs to be updated.
hardware,phần cứng,/ˈhɑːrdwer/,"The problem is with the hardware, not the software."
email,thư điện tử,/ˈiːmeɪl/,I sent you an email this morning.
password,mật khẩu,/ˈpæswɜːrd/,Never share your password with anyone.
file,tập tin,/faɪl/,Please save this file on your desktop.
download,tải xuống,/ˈdaʊnloʊd/,You can download the app for free.
upload,tải lên,/ˈʌploʊd/,She uploaded her photos to the cloud.
cloud storage,lưu trữ đám mây,/ˈklaʊd ˈstɔːrɪdʒ/,Cloud storage is very convenient.
robot,người máy,/ˈroʊbɑːt/,Robots can help with many tasks.
artificial intelligence,trí tuệ nhân tạo,/ˌɑːrtɪˈfɪʃl ɪnˈtelɪdʒəns/,Artificial intelligence is changing the world.
virtual reality,thực tế ảo,/ˌvɜːrtʃuəl riˈæləti/,Virtual reality games are very exciting.
