Word,Meaning (Vietnamese),IPA,Example
nature,thiên nhiên,/ˈneɪtʃər/,I love walking in nature.
mountain,ngọn núi,/ˈmaʊntən/,The mountain is covered with snow.
river,con sông,/ˈrɪvər/,The river flows to the sea.
lake,hồ,/leɪk/,We went swimming in the lake.
sea,biển,/siː/,The sea is calm today.
ocean,đại dương,/ˈoʊʃən/,Whales live in the ocean.
forest,khu rừng,/ˈfɔːrɪst/,There are many animals in the forest.
tree,cái cây,/triː/,A bird is sitting on the tree.
flower,bông hoa,/ˈflaʊər/,She picked a beautiful flower.
leaf,chiếc lá,/liːf/,The leaf fell from the tree.
grass,cỏ,/ɡræs/,The grass is wet with dew.
rock,hòn đá,/rɑːk/,He threw a rock into the water.
hill,đồi,/hɪl/,We climbed up the hill.
valley,thung lũng,/ˈvæli/,The village is in a valley.
island,hòn đảo,/ˈaɪlənd/,They live on a small island.
desert,sa mạc,/ˈdezərt/,The desert is very hot and dry.
waterfall,thác nước,/ˈwɔːtərfɔːl/,The waterfall is beautiful.
beach,bãi biển,/biːtʃ/,We walked along the beach.
sky,bầu trời,/skaɪ/,The sky is full of stars.
cloud,đám mây,/klaʊd/,A big cloud is covering the sun.
sun,mặt trời,/sʌn/,The sun rises in the east.
moon,mặt trăng,/muːn/,The moon shines at night.
star,ngôi sao,/stɑːr/,There are many stars in the sky.
wind,gió,/wɪnd/,The wind is blowing strongly.
fire,lửa,/ˈfaɪər/,They sat around the fire.
